id,first_name,last_name,gender,Grade,absence_days,tardy_days,math_grade,science_grade,english_grade,it_grade
123,Rockwell,Ryles,Male,5,5,24,81,38,31,1
124,Fredric,Priestland,Male,1,30,15,71,36,96,69
125,Derrick,Lackington,Male,8,19,17,28,75,51,56
126,Allis,Davion,Female,4,1,16,66,43,54,79
127,Carri,Kamena,Female,12,8,44,85,3,21,32
128,Berget,Palley,Female,9,4,40,39,96,3,19
129,Delores,Barsby,Female,7,6,29,69,49,52,31
130,Fawn,McJury,Female,7,12,50,61,1,25,32
131,Colan,Wallicker,Male,8,0,25,83,58,42,18
132,Jessi,Yakovitch,Female,2,16,48,69,42,93,24
133,Crawford,McTear,Male,12,18,38,3,23,55,50
134,Griffie,Whinney,Male,1,9,37,28,18,65,79
135,Ryley,Lyons,Male,1,24,14,59,36,30,76
136,Calla,Tales,Female,6,7,46,37,51,50,44
137,Inga,Cumber,Female,10,28,16,56,20,29,15
138,Katherina,Scrymgeour,Female,6,4,34,20,26,93,79
139,Elliott,Boshell,Male,11,30,47,84,0,84,3
140,Pauly,Joskowicz,Male,11,11,35,15,13,35,39
141,Annamaria,Philipsson,Female,12,7,49,14,56,32,88
142,Ariana,Noor,Female,2,20,20,80,86,72,0
143,Lucian,Syvret,Male,11,0,15,48,65,8,47
144,Raoul,Ochterlonie,Male,9,10,2,5,31,62,30
145,Grant,Cadreman,Male,10,0,31,35,12,25,60
146,Thorny,Rosewell,Male,5,7,37,7,77,7,96
147,Sonnie,Coggings,Male,10,1,6,32,5,17,79
148,Jarret,Skerrett,Male,11,20,39,80,27,60,34
149,Jarvis,Friel,Male,2,22,29,96,29,42,81
150,Dorian,Clackers,Male,1,7,8,51,12,47,2
151,Dianne,Roads,Female,8,27,0,37,21,35,47
152,Pepita,Nisbet,Female,11,7,23,16,66,24,49
153,Fitz,Scatchard,Male,10,26,15,91,8,52,7
154,Norah,Flecknell,Female,4,28,11,40,82,16,100
155,Granger,Doddrell,Male,3,12,13,4,73,38,67
156,Kaitlin,Christley,Female,7,13,2,16,49,23,16
157,Payton,Ruberti,Male,7,26,34,73,62,6,22
158,Hobard,Wardell,Male,12,18,46,29,37,6,23
159,Yurik,Smitherham,Male,2,23,47,39,23,22,14
160,Flossi,Ingon,Female,5,20,40,32,16,49,87
161,Branden,Beahan,Male,12,18,8,17,88,29,28
162,Cly,Spikeings,Male,12,4,24,1,53,67,26
163,Giulia,Klemps,Female,4,4,12,22,15,96,0
164,Boonie,Bourbon,Male,8,2,24,25,100,72,37
165,Dalt,Lasham,Male,9,0,22,40,43,31,36
166,Monique,Wellbank,Female,12,2,23,64,10,23,85
167,Nancey,Olle,Female,11,30,35,46,31,81,95
168,Roxy,Gregg,Female,5,27,6,64,21,90,48
169,Viola,Kordt,Female,2,23,39,9,94,53,19
170,Ax,De Giorgis,Male,7,4,37,31,27,72,26
171,Dian,Downing,Female,12,10,18,98,13,25,65
172,Cecil,Epine,Male,1,30,0,65,69,62,94
173,Erasmus,Hardaway,Male,1,20,4,6,50,52,34
174,Luciana,Cotty,Female,5,13,2,14,7,71,24
175,Mabelle,Fernando,Female,12,28,20,19,64,47,61
176,Valentine,Hillyatt,Female,11,1,40,85,19,40,14
177,Gerrilee,Thorby,Female,8,6,32,52,0,34,71
178,Jethro,Vannacci,Male,7,1,17,3,42,49,66
179,Borg,Stout,Male,4,14,8,98,25,83,39
180,Malorie,Thorpe,Female,7,27,4,55,24,38,79
181,Granger,Helks,Male,7,24,39,8,37,7,81
182,Aldis,D'Alessio,Male,10,18,43,56,33,24,64
183,Jerrilyn,Leverette,Female,7,13,47,96,70,78,16
184,Jesselyn,De La Cote,Female,11,27,21,16,26,38,92
185,Ogden,Gland,Male,7,11,37,24,71,15,54
186,Templeton,Isgate,Male,4,29,6,9,99,99,34
187,Tabby,Vinden,Female,1,10,25,46,79,95,87
188,Forbes,Haslehurst,Male,1,7,21,59,73,89,87
189,Jesse,Aven,Male,4,8,47,29,83,86,28
190,Cass,Baiss,Female,10,16,18,26,96,1,88
191,Gilberto,Pottle,Male,9,14,33,13,63,83,45
192,Marcellina,Scottini,Female,3,28,45,59,10,0,61
193,Erwin,Northley,Male,8,23,39,18,77,48,45
194,Blithe,Elmhirst,Female,6,3,40,66,59,28,72
195,Justis,Dahl,Male,10,13,22,24,95,16,2
196,Herminia,Kitney,Female,4,12,16,77,37,92,57
197,Sissie,Harvatt,Female,5,25,13,99,55,3,98
198,Alfy,Netherclift,Male,9,26,26,20,2,92,59
199,Marijo,Frangleton,Female,3,14,0,80,14,48,35
200,Franny,Vitte,Female,9,0,2,100,9,14,80
201,Konrad,Davidou,Male,12,1,18,66,21,42,53
202,Homer,Baptie,Male,3,30,35,81,86,22,44
203,Britni,Dalgetty,Female,4,10,11,28,22,79,45
204,Heidie,Spoor,Female,5,12,36,85,57,49,30
205,Bartholomew,Paudin,Male,12,5,49,99,12,86,68
206,Neale,Malinson,Male,10,23,5,99,61,74,40
207,Anallise,Hoffman,Female,3,26,38,94,57,31,98
208,Christos,Windebank,Male,8,26,14,38,43,10,65
209,Corenda,Muxworthy,Female,4,1,34,79,97,52,52
210,Moria,Windybank,Female,7,24,21,97,86,90,58
211,Hodge,Daverin,Male,3,17,1,23,72,33,11
212,Agna,Emerton,Female,1,9,6,28,58,74,50
213,Jaye,Jahnig,Male,10,1,1,37,6,68,100
214,Betsey,Ayre,Female,9,9,47,81,91,77,75
215,Jodie,Sterry,Male,5,25,29,85,90,10,33
216,Lynne,Edscer,Female,6,27,38,47,13,16,92
217,Meta,Rapier,Female,3,0,17,29,12,47,98
218,Selene,Torrans,Female,8,4,4,0,43,67,62
219,Bessie,Craker,Female,11,16,5,38,69,27,1
220,Jay,Roelofs,Male,3,22,21,67,44,63,60
221,Deeyn,Valance,Female,12,12,41,23,73,100,13
222,Jo,Craigmyle,Male,9,1,30,38,11,15,63
223,Yvonne,Rajchert,Female,5,26,23,71,84,28,83
224,Ellette,Matasov,Female,3,6,49,53,7,33,60
225,Carlota,Seath,Female,12,9,33,17,66,49,85
226,Dalt,Rampling,Male,6,15,15,95,27,61,81
227,Kennith,Warlton,Male,12,16,39,26,48,63,30
228,Selena,Kruschov,Female,10,4,47,10,16,26,88
229,Francis,Povey,Male,7,9,34,83,91,67,68
230,Tatiana,Peregrine,Female,8,16,24,79,61,43,46
231,Bernete,Claffey,Female,10,21,32,55,22,2,25
232,Moshe,Ounsworth,Male,2,5,41,61,90,93,98
233,Rhodia,Danniell,Female,4,17,10,100,51,32,1
234,Rodie,Werner,Female,12,6,33,0,93,68,26
235,Laryssa,Inger,Female,11,5,4,61,59,82,28
236,Michal,Axelbey,Female,10,1,44,86,20,40,0
237,Bucky,Yakubov,Male,11,18,33,79,46,27,85
238,Blondy,Iacovolo,Female,8,28,36,25,11,56,90
239,Darbee,Splevin,Male,5,18,27,9,34,37,68
240,Connie,Byrcher,Male,8,0,3,38,22,2,68
241,Anne-corinne,Raeburn,Female,1,15,22,51,46,57,89
242,Jillian,Fitzsymon,Female,5,17,36,11,3,37,7
243,Reider,Plumb,Male,3,0,27,86,74,56,73
244,Hillyer,O'Shevlin,Male,8,9,39,94,99,17,29
245,Noe,Pirelli,Male,3,6,31,79,93,100,53
246,Catharina,Bourdel,Female,4,0,29,17,36,9,66
247,Angelia,Bootman,Female,3,0,31,62,55,60,84
248,Tuck,Le Guin,Male,1,18,31,24,9,38,35
249,Alayne,Pasek,Female,3,25,17,74,30,72,78
250,Elisha,Game,Male,10,8,1,52,6,98,78
251,Haily,Templar,Female,12,27,20,35,80,84,94
252,Tobe,Mansford,Male,6,11,7,97,23,25,18
253,Jerri,Farfolomeev,Male,6,25,14,16,43,75,71
254,Wynne,Romand,Female,1,10,5,5,74,46,71
255,Kalindi,Zouch,Female,9,29,47,51,33,4,57
256,Obediah,Murtagh,Male,11,6,14,9,46,62,26
257,Angele,Jahns,Female,6,14,26,57,15,77,32
258,Dede,Shill,Female,1,5,43,48,80,7,83
259,Tim,Jepp,Male,10,10,43,6,20,40,91
260,Margarete,Finlason,Female,3,2,42,41,4,72,44
261,Tarah,Kopec,Female,8,16,2,80,30,60,3
262,Reagan,Martugin,Male,4,15,16,38,67,26,52
263,Lydia,Kesten,Female,11,11,48,97,37,89,62
264,Moyra,Limbert,Female,11,16,20,58,9,14,1
265,Gillie,Kelmere,Female,8,26,16,52,100,66,82
266,Jewel,Woolbrook,Female,2,17,13,5,44,72,31
267,Chandler,Buzek,Male,12,0,31,98,33,15,35
268,Harriott,Innocenti,Female,3,22,23,29,74,68,8
269,Halette,Sibery,Female,12,5,16,3,80,37,4
270,Raffarty,Petronis,Male,10,15,38,25,47,57,99
271,Syman,Gorler,Male,1,25,34,64,9,94,56
272,Dorree,Scardifeild,Female,3,22,47,37,39,34,32
273,Seumas,Simonini,Male,12,7,3,59,34,71,3
274,Dolores,Kondratenya,Female,5,7,30,37,28,1,51
275,Neils,Isabell,Male,3,10,30,21,6,92,0
276,Arlinda,Kovnot,Female,10,6,42,97,37,27,36
277,Gerry,Bhar,Female,11,25,26,69,79,43,68
278,Sigrid,Swafield,Female,12,17,35,87,91,57,50
279,Dmitri,Dorro,Male,7,22,21,51,12,96,2
280,Carce,Ackenhead,Male,12,30,8,2,15,5,34
281,Merline,Witheford,Female,2,17,5,6,86,22,23
282,Lesley,Nore,Male,12,21,15,23,30,27,63
283,Clarissa,Attenborrow,Female,7,11,16,79,84,7,76
284,Leanor,Bynert,Female,12,26,29,97,98,13,77
285,Holden,O'Dulchonta,Male,7,19,23,96,61,96,92
286,Fredek,Bavester,Male,10,30,48,15,42,65,18
287,Davita,Goodley,Female,7,22,46,32,100,16,74
288,Orlando,Doughtery,Male,2,25,26,5,33,1,34
289,Etienne,Kullmann,Male,10,7,37,5,75,9,2
290,Jacob,Haselgrove,Male,4,10,7,29,77,42,70
291,Bartel,Callander,Male,7,20,0,71,68,79,12
292,Gabey,Tordiffe,Female,4,28,42,97,51,50,10
293,Dov,Arp,Male,9,24,38,35,17,87,44
294,Nancee,Potes,Female,5,11,45,90,92,72,50
295,Marian,Lighterness,Female,8,2,12,0,48,31,15
296,Adiana,Bloore,Female,2,14,10,48,6,95,45
297,Andromache,Joesbury,Female,4,5,35,48,13,58,88
298,Judon,Sexcey,Male,1,9,1,79,43,56,99
299,Gaultiero,Enticott,Male,5,4,25,9,64,40,14
300,Flo,Moncrieffe,Female,1,15,23,54,12,97,13
301,Dur,Twinborough,Male,7,15,36,42,83,18,15
302,Warden,Megarry,Male,4,13,23,20,38,20,61
303,Gunar,Feehery,Male,12,11,3,49,98,49,38
304,Collie,Swinney,Female,3,0,7,4,87,48,47
305,Loria,Kilrow,Female,1,18,30,11,95,75,96
306,Lorenzo,Bourton,Male,2,23,42,98,17,53,22
307,Bradan,Phippen,Male,11,19,3,7,76,69,42
308,Almeta,Loeber,Female,9,24,15,70,5,36,9
309,Daffi,Ovid,Female,7,14,13,21,16,91,54
310,Yorgo,Bengtsen,Male,6,14,32,8,54,31,16
311,Pedro,Kristof,Male,2,15,37,70,71,87,89
312,Chloris,Gomersal,Female,9,4,9,87,21,9,4
313,Beitris,Shackleford,Female,4,3,48,64,38,1,12
314,Cheslie,Hanrott,Female,3,1,25,61,59,79,26
315,Bibbie,Beccles,Female,9,17,12,9,64,39,20
316,Shep,Faircliff,Male,6,24,38,80,9,25,42
317,Nicola,Bloxam,Female,2,27,25,45,52,85,74
318,Deb,Tanslie,Female,8,8,50,58,54,10,30
319,Katy,Ellingsworth,Female,12,7,29,89,16,23,38
320,Wanda,Vanlint,Female,8,18,12,5,63,63,19
321,Joann,Sharrocks,Female,2,8,18,2,37,32,80
322,Jacklin,Gofford,Female,4,23,44,69,24,65,43
323,Nora,Christian,Female,7,7,14,32,24,1,57
324,Birch,Mebes,Male,11,20,36,65,33,52,38
325,Tim,Simanenko,Female,9,21,35,38,52,97,22
326,Afton,Bilt,Female,8,7,10,87,71,91,95
327,Halsy,Thulborn,Male,2,0,12,20,23,28,80
328,Dahlia,Hewertson,Female,12,26,47,61,79,83,36
329,Darby,O'Kenny,Male,3,29,8,100,79,3,66
330,Pooh,Heisler,Female,10,1,33,56,47,79,33
331,Carie,Benninger,Female,3,3,38,5,65,92,85
332,Kliment,Spirritt,Male,5,17,50,44,16,39,46
333,Cherry,Marcos,Female,12,29,13,16,65,23,95
334,Forrest,Knatt,Male,3,22,24,40,21,36,25
335,Cullie,Crockatt,Male,1,22,18,35,43,16,46
336,Tony,Angood,Male,6,21,7,1,82,45,70
337,Ryun,Bordone,Male,11,17,43,71,89,41,49
338,Mohandas,Di Pietro,Male,5,19,34,50,75,44,51
339,Vivian,Hopkins,Female,3,18,23,70,89,38,99
340,Hubert,Worrell,Male,12,29,44,93,60,12,53
341,Verne,Lapsley,Male,10,3,41,60,0,30,24
342,Dillie,Dael,Male,9,23,37,93,13,4,69
343,Jorgan,Cowlam,Male,3,18,30,17,60,10,53
344,Gearalt,Wrightham,Male,4,26,19,31,77,99,27
345,Lefty,Loveitt,Male,7,18,12,73,87,76,18
346,Nichole,Hencke,Female,5,11,23,9,10,54,98
347,Darleen,Liverock,Female,6,27,34,11,51,19,11
348,Cassandre,Forker,Female,10,3,33,14,68,71,95
349,Dolf,Rentilll,Male,9,18,21,48,78,60,39
350,Shannon,Crosser,Male,5,28,19,22,92,32,68
351,Kaspar,Bingley,Male,12,26,17,45,19,84,84
352,Janetta,Riordan,Female,8,10,30,30,34,88,100
353,Nappy,Blockey,Male,5,23,37,36,36,28,5
354,Olly,Yarr,Male,12,8,11,67,65,98,64
355,Nicolina,Scalera,Female,12,29,46,56,4,48,46
356,Hagen,Margach,Male,7,5,48,9,19,85,56
357,Marcy,Tybalt,Female,9,11,9,42,99,57,2
358,Zea,Withams,Female,11,19,9,94,99,57,68
359,Hercule,Toffetto,Male,11,5,48,34,3,60,45
360,Gilligan,Holsall,Female,11,13,22,12,62,89,92
361,Byran,Ainsley,Male,12,30,15,98,53,70,46
362,Quinn,Ewells,Male,10,21,34,79,3,74,86
363,Keely,Quarrie,Female,7,24,41,58,62,80,48
364,Salvatore,Pleace,Male,12,3,17,67,25,27,14
365,Lanny,Targetter,Female,9,21,44,4,14,90,64
366,Faustine,Reddie,Female,3,20,1,11,19,26,9
367,Theda,Zimmermanns,Female,3,22,47,88,6,50,46
368,Killian,Geare,Male,2,11,16,22,1,41,29
369,Nita,Reimer,Female,5,9,8,18,38,26,60
370,Ferne,Moakler,Female,12,19,7,58,52,35,87
371,Craggy,Iacobucci,Male,11,23,31,41,50,73,52
372,Elly,Crewther,Female,3,17,16,73,36,64,47
373,Royall,Kaiser,Male,1,24,22,71,39,45,55
374,Alberik,Labbati,Male,12,4,3,6,39,69,4
375,Cassy,Abson,Female,12,10,44,42,20,33,3
376,Nikki,Delbergue,Male,8,21,41,49,96,70,52
377,Kitty,Badwick,Female,12,11,25,85,95,57,61
378,Shell,Langcastle,Male,4,29,19,90,30,17,15
379,Arluene,Bartolini,Female,5,23,42,75,61,53,96
380,Charley,Crabbe,Male,12,2,38,75,59,72,9
381,Teddy,Jorczyk,Female,10,16,48,99,52,22,83
382,Leanora,Chatwin,Female,3,14,26,72,26,11,33
383,Ellynn,Cucuzza,Female,3,17,9,52,61,37,97
384,Lin,Whitmarsh,Female,6,26,3,72,31,9,11
385,Nate,Cubbinelli,Male,12,17,45,94,4,88,95
386,Hatti,Petzolt,Female,1,23,12,14,56,29,94
387,Giuseppe,Jakeman,Male,3,2,18,49,76,6,86
388,Kellen,Jerromes,Male,8,25,15,47,32,34,49
389,Perice,Lofts,Male,3,6,17,53,14,100,15
390,Ddene,Sumers,Female,6,13,12,93,60,59,32
391,Babs,Billingham,Female,10,27,41,3,55,46,93
392,Stormy,Puttnam,Female,11,24,0,58,86,23,55
393,Mellicent,Belvard,Female,5,22,30,71,8,5,53
394,Louella,Gribbin,Female,6,7,13,97,34,73,20
395,Eilis,Nelsen,Female,3,14,46,63,63,70,66
396,Davie,Meehan,Male,2,18,6,57,46,49,53
397,Cornelle,Harbidge,Female,8,6,20,59,64,88,86
398,Allix,Gatrill,Female,5,18,12,2,11,31,60
399,Angie,Sly,Female,7,12,6,32,91,77,67
400,Ninon,Penni,Female,10,30,38,94,72,60,19
401,Forester,Callam,Male,1,23,46,10,92,55,55
402,Harwilll,Elnough,Male,1,14,17,55,16,15,77
403,Obie,Chavrin,Male,8,4,1,18,9,19,75
404,Fanya,Aldwinckle,Female,11,22,18,81,25,65,12
405,Quintina,Sokale,Female,3,22,47,32,19,54,83
406,Betteann,Lodwick,Female,4,0,19,13,27,33,15
407,Geraldine,Gidley,Female,4,12,22,14,67,87,18
408,Frasier,Gingles,Male,5,9,15,53,20,83,69
409,Timothea,Shearstone,Female,1,1,43,36,23,71,98
410,Paddie,Warnock,Male,12,16,46,16,66,78,96
411,Wallis,Forst,Male,7,26,39,19,47,31,65
412,Janith,Bowsher,Female,12,29,44,29,71,6,22
413,Reinold,McPolin,Male,10,8,41,36,7,76,63
414,Lothario,O'Neal,Male,8,15,44,34,5,90,5
415,Dagny,Laughlin,Male,2,10,35,28,81,89,5
416,Boy,Tomek,Male,7,10,21,66,72,17,39
417,Thatcher,Mattosoff,Male,1,1,34,1,89,99,47
418,Peri,Towsie,Female,2,3,16,69,91,85,92
419,Reina,Mattingley,Female,2,20,49,55,68,1,52
420,Dominick,Fidgin,Male,11,11,35,73,18,36,80
421,Uta,Dyton,Female,4,29,3,17,69,96,93
422,Lanae,Rangall,Female,12,20,47,58,97,27,60
423,Dix,Axon,Female,7,0,39,74,50,62,47
424,Garry,Phythian,Male,7,14,2,11,29,39,10
425,Nataniel,Bollon,Male,1,6,38,65,66,58,97
426,Lilias,Emor,Female,6,26,39,87,28,27,16
427,Abdul,Dudden,Male,9,25,50,88,96,37,94
428,Hunt,Yedall,Male,6,29,29,72,86,68,41
429,Cortney,Geistmann,Female,9,9,10,61,93,19,21
430,Karilynn,Pudge,Female,12,28,37,89,80,65,0
431,Lionel,Origin,Male,2,18,0,62,15,64,46
432,Bill,Fidal,Female,6,21,31,3,92,66,84
433,Jannelle,Calcraft,Female,2,28,30,61,62,89,27
434,Dory,Rickard,Male,11,25,19,51,56,89,42
435,Ulysses,Praill,Male,9,6,23,70,26,22,11
436,Audi,Ferrini,Female,2,29,10,79,15,41,94
437,Bevan,Daye,Male,3,10,36,97,35,68,17
438,Vivianne,Heffron,Female,9,11,0,23,88,87,58
439,Juliet,D'Alwis,Female,8,18,49,46,26,75,62
440,Sidney,Tutton,Male,8,2,26,67,97,46,70
441,Vicky,Kershaw,Female,12,8,44,52,89,6,35
442,Bryn,Mougin,Male,5,7,49,10,23,41,43
443,Alysia,Ewell,Female,9,20,32,36,64,51,17
444,Winifield,Semble,Male,4,28,8,62,67,91,2
445,Olva,Brennen,Female,1,16,46,80,58,62,74
446,Pauly,Reye,Male,5,19,22,97,2,78,22
447,Hale,Gostyke,Male,3,2,2,35,74,38,12
448,Pete,Hanshaw,Male,8,15,2,22,14,61,19
449,Hazlett,Penrith,Male,5,0,32,73,93,15,12
450,Larina,Siward,Female,4,29,6,97,22,18,92
451,Luther,Tolland,Male,2,30,8,19,83,52,18
452,Ariel,Covotto,Female,9,22,2,1,33,63,83
453,Lana,Weatherdon,Female,2,25,31,22,4,100,0
454,Myrtie,Cripin,Female,8,10,16,68,18,95,56
455,Gibbie,Silver,Male,1,2,48,40,60,93,64
456,Dominga,Shelper,Female,3,15,33,71,83,61,50
457,Marcie,Grishelyov,Female,9,25,36,50,91,66,55
458,Chicky,Fitzpayn,Female,7,28,31,18,86,14,42
459,Robinia,Ceeley,Female,12,16,20,25,83,10,54
460,Ingaberg,Euplate,Female,10,28,37,16,7,31,34
461,Fritz,Mowling,Male,2,17,4,65,94,28,12
462,Robin,Lyness,Male,7,11,14,95,74,15,47
463,Phylis,Antoniak,Female,1,15,5,69,30,7,75
464,Emmett,Commuzzo,Male,6,8,26,98,66,57,88
465,Sherline,Peaker,Female,1,8,11,70,95,59,70
466,Annelise,Codman,Female,12,20,9,86,34,22,14
467,Aeriela,Dine-Hart,Female,4,11,50,96,1,54,32
468,Redford,Mattingly,Male,11,20,50,70,53,27,22
469,Fleming,Rotte,Male,5,4,17,91,22,10,8
470,Araldo,Giacobillo,Male,1,18,5,39,48,100,57
471,Esdras,Klossek,Male,2,25,40,20,89,93,94
472,Simonne,Pagett,Female,1,30,38,56,10,52,91
473,Davy,Ballinghall,Male,12,2,13,58,26,89,42
474,Shandeigh,Penman,Female,10,3,38,27,8,34,74
