id,first_name,last_name,gender,Grade,absence_days,tardy_days,math_grade,science_grade,english_grade,it_grade,math_pass,science_pass,english_pass,it_pass,avg_grade,attendance_rate,tardy_rate,total_attendance_issues,attendance_situation,pass_status,attendance_category,grade_level_group,at_risk,needs_intervention,failed_subjects,best_subject,worst_subject,grade_variance,performance_tier,honor_roll
13,Carma,Andriesse,Female,4,12,30,50,90,90,92,1,1,1,1,80.5,93.33,16.67,42,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,20.36,Good,0
14,Ilene,Dallaghan,Female,1,27,15,71,50,50,50,1,1,1,1,55.25,85.0,8.33,42,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,10.5,Passing,0
15,Luther,Jennrich,Male,7,8,50,61,46,64,27,1,0,1,0,49.5,95.56,27.78,58,Excessive Tardiness,Fail,Exessive,Middle (6-8),0,1,2,English,It,16.94,Failing,0
16,Barron,Sparsholt,Male,6,16,21,50,50,52,72,1,1,1,1,56.0,91.11,11.67,37,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,It,Math,10.71,Passing,0
17,Lilly,Cadge,Female,6,9,27,58,55,50,50,1,1,1,1,53.25,95.0,15.0,36,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,0,Math,English,3.95,Passing,0
18,Suzy,Isham,Female,1,29,36,73,79,71,67,1,1,1,1,72.5,83.89,20.0,65,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,It,5.0,Satisfactory,0
19,Antoni,Josefsson,Male,8,7,36,45,55,1,61,0,1,0,1,40.5,96.11,20.0,43,Excessive Tardiness,Fail,Exessive,Middle (6-8),0,1,2,It,English,27.15,Failing,0
20,Tammi,Foister,Female,7,8,28,87,38,34,86,1,0,0,1,61.25,95.56,15.56,36,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,2,Math,English,29.2,Needs Improvement,0
21,Renae,Heibel,Female,3,23,18,50,50,50,66,1,1,1,1,54.0,87.22,10.0,41,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,8.0,Passing,0
22,Cherice,Annable,Female,9,5,0,59,96,2,53,1,1,0,1,52.5,97.22,0.0,5,Acceptable,Pass,Good,High (9-12),0,0,1,Science,English,38.67,Passing,0
23,Carroll,Bakster,Male,11,21,42,85,70,54,60,1,1,1,1,67.25,88.33,23.33,63,Excessive Absence,Pass,Exessive,High (9-12),0,1,0,Math,English,13.55,Needs Improvement,0
24,Bernardine,Pryor,Female,2,23,9,69,50,50,61,1,1,1,1,57.5,87.22,5.0,32,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,9.26,Passing,0
25,Sebastien,Ponten,Male,10,21,4,77,43,54,35,1,0,1,0,52.25,88.33,2.22,25,Excessive Absence,Pass,Concerning,High (9-12),0,1,2,Math,It,18.25,Passing,0
26,Jerrold,Harford,Male,8,18,9,65,82,10,67,1,1,0,1,56.0,90.0,5.0,27,Excessive Absence,Pass,Concerning,Middle (6-8),0,1,1,Science,English,31.59,Passing,0
27,Demetris,Sapsed,Female,6,28,12,51,50,54,50,1,1,1,1,51.25,84.44,6.67,40,Excessive Absence,Pass,Exessive,Middle (6-8),1,1,0,English,Science,1.89,Passing,0
28,Dre,Kelland,Female,9,1,14,72,7,3,96,1,0,0,1,44.5,99.44,7.78,15,Acceptable,Fail,Moderate,High (9-12),0,0,2,It,English,46.68,Failing,0
29,Giorgia,Goskar,Female,8,22,40,69,20,12,89,1,0,0,1,47.5,87.78,22.22,62,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,2,It,English,37.42,Failing,0
30,Virgilio,Wardel,Male,5,29,10,50,50,62,50,1,1,1,1,53.0,83.89,5.56,39,Excessive Absence,Pass,Exessive,Elementary (1-5),1,1,0,English,Math,6.0,Passing,0
31,Valentia,Adamski,Female,4,20,50,50,50,50,50,1,1,1,1,50.0,88.89,27.78,70,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Math,0.0,Passing,0
32,Alex,Herreran,Male,1,17,43,50,64,50,94,1,1,1,1,64.5,90.56,23.89,60,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,20.74,Needs Improvement,0
33,Jobyna,Coen,Female,9,18,39,4,30,71,52,0,0,1,1,39.25,90.0,21.67,57,Excessive Absence,Fail,Exessive,High (9-12),0,1,2,English,Math,28.86,Failing,0
34,Kennie,Egalton,Male,2,6,32,78,87,67,60,1,1,1,1,73.0,96.67,17.78,38,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,Science,It,11.92,Satisfactory,0
35,Fritz,Marcussen,Male,11,8,47,75,75,91,92,1,1,1,1,83.25,95.56,26.11,55,Excessive Tardiness,Pass,Exessive,High (9-12),0,1,0,It,Math,9.54,Good,0
36,Dani,Andell,Female,3,19,42,90,50,90,50,1,1,1,1,70.0,89.44,23.33,61,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,23.09,Satisfactory,0
37,Carroll,Alti,Female,7,25,0,100,96,68,63,1,1,1,1,81.75,86.11,0.0,25,Excessive Absence,Pass,Concerning,Middle (6-8),0,1,0,Math,It,18.95,Good,0
38,Randi,Vears,Female,4,15,2,95,87,50,50,1,1,1,1,70.5,91.67,1.11,17,Excessive Absence,Pass,Moderate,Elementary (1-5),0,1,0,Math,English,23.9,Satisfactory,0
39,Abey,Norcutt,Male,7,18,23,11,98,18,70,0,1,0,1,49.25,90.0,12.78,41,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,2,Science,Math,41.82,Failing,0
40,Florri,Seyffert,Female,8,29,7,6,56,82,94,0,1,1,1,59.5,83.89,3.89,36,Excessive Absence,Pass,Exessive,Middle (6-8),1,1,1,It,Math,39.03,Passing,0
41,Laetitia,Camillo,Female,7,3,0,34,61,83,10,0,1,1,0,47.0,98.33,0.0,3,Acceptable,Fail,Good,Middle (6-8),0,0,2,English,It,31.78,Failing,0
42,Betti,Treven,Female,11,22,24,85,48,40,85,1,0,0,1,64.5,87.78,13.33,46,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,Math,English,23.9,Needs Improvement,0
43,Joanne,Paszak,Female,2,6,9,56,81,50,70,1,1,1,1,64.25,96.67,5.0,15,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,Science,English,13.96,Needs Improvement,0
44,Rosabelle,Threlkeld,Female,11,6,26,4,61,72,84,0,1,1,1,55.25,96.67,14.44,32,Excessive Tardiness,Pass,Exessive,High (9-12),0,1,1,It,Math,35.43,Passing,0
45,Inglebert,MacClancey,Male,10,1,41,10,23,23,60,0,0,0,1,29.0,99.44,22.78,42,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,It,Math,21.56,Failing,0
46,Stanislaus,Ingraham,Male,9,17,6,87,76,38,15,1,1,0,0,54.0,90.56,3.33,23,Excessive Absence,Pass,Concerning,High (9-12),0,1,2,Math,It,33.42,Passing,0
47,Lurleen,Bettenson,Female,6,27,39,95,94,51,81,1,1,1,1,80.25,85.0,21.67,66,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,Math,English,20.52,Good,0
48,Luisa,Hanney,Female,12,18,32,44,75,65,45,0,1,1,0,57.25,90.0,17.78,50,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,Science,Math,15.28,Passing,0
49,Falkner,Darbey,Male,2,26,34,84,76,92,50,1,1,1,1,75.5,85.56,18.89,60,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,It,18.21,Satisfactory,0
50,Antonella,Greenset,Female,4,3,48,50,75,64,52,1,1,1,1,60.25,98.33,26.67,51,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,Science,Math,11.62,Needs Improvement,0
51,Philbert,Arnaldi,Male,11,0,28,32,33,74,35,0,0,1,0,43.5,100.0,15.56,28,Excessive Tardiness,Fail,Concerning,High (9-12),0,1,3,English,Math,20.37,Failing,0
52,Frankie,Schenkel,Male,8,0,15,33,23,52,89,0,0,1,1,49.25,100.0,8.33,15,Acceptable,Fail,Moderate,Middle (6-8),0,0,2,It,Science,29.1,Failing,0
53,Edmund,Dumbrall,Male,5,4,29,50,85,100,93,1,1,1,1,82.0,97.78,16.11,33,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,English,Math,22.2,Good,0
54,Shanna,Pinckstone,Female,9,11,23,73,10,65,100,1,0,1,1,62.0,93.89,12.78,34,Excessive Absence,Pass,Exessive,High (9-12),0,1,1,It,Science,37.76,Needs Improvement,0
55,Louie,Neat,Male,3,30,35,94,50,50,64,1,1,1,1,64.5,83.33,19.44,65,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,20.74,Needs Improvement,0
56,Emera,Tomalin,Female,2,0,34,66,81,97,50,1,1,1,1,73.5,100.0,18.89,34,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,English,It,20.14,Satisfactory,0
57,Rora,Cowup,Female,11,14,50,0,37,59,25,0,0,1,0,30.25,92.22,27.78,64,Excessive Absence,Fail,Exessive,High (9-12),0,1,3,English,Math,24.6,Failing,0
58,Bellina,Sandom,Female,10,11,7,58,78,22,78,1,1,0,1,59.0,93.89,3.89,18,Excessive Absence,Pass,Moderate,High (9-12),0,1,1,Science,English,26.41,Passing,0
59,Jessie,Elsmore,Male,1,21,24,88,59,51,50,1,1,1,1,62.0,88.33,13.33,45,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,It,17.8,Needs Improvement,0
60,Alexio,Caughey,Male,3,22,4,66,94,65,88,1,1,1,1,78.25,87.78,2.22,26,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,Science,English,14.93,Satisfactory,0
61,Jard,Thursfield,Male,5,1,18,50,50,50,50,1,1,1,1,50.0,99.44,10.0,19,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,Math,Math,0.0,Passing,0
62,Gracie,Cholwell,Female,5,5,26,90,50,68,63,1,1,1,1,67.75,97.22,14.44,31,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,16.66,Needs Improvement,0
63,Gauthier,Lomax,Male,8,3,18,48,7,83,95,0,0,1,1,58.25,98.33,10.0,21,Acceptable,Pass,Concerning,Middle (6-8),0,0,2,It,Science,39.56,Passing,0
64,Christin,Sang,Female,4,11,11,50,54,66,50,1,1,1,1,55.0,93.89,6.11,22,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,English,Math,7.57,Passing,0
65,Bernita,Borrel,Female,6,13,12,98,50,79,50,1,1,1,1,69.25,92.78,6.67,25,Excessive Absence,Pass,Concerning,Middle (6-8),0,1,0,Math,Science,23.54,Needs Improvement,0
66,Dianne,Ivanuschka,Female,11,16,6,81,84,69,55,1,1,1,1,72.25,91.11,3.33,22,Excessive Absence,Pass,Concerning,High (9-12),0,1,0,Science,It,13.2,Satisfactory,0
67,Gamaliel,Adamides,Male,1,13,15,83,60,50,82,1,1,1,1,68.75,92.78,8.33,28,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,Math,English,16.4,Needs Improvement,0
68,Arney,Tilson,Male,7,18,49,71,27,77,81,1,0,1,1,64.0,90.0,27.22,67,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,1,It,Science,25.01,Needs Improvement,0
69,Jasmine,Barkhouse,Female,10,4,14,8,92,29,75,0,1,0,1,51.0,97.78,7.78,18,Acceptable,Pass,Moderate,High (9-12),0,0,2,Science,Math,39.12,Passing,0
70,Rosy,Kupper,Female,5,23,4,100,50,92,77,1,1,1,1,79.75,87.22,2.22,27,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,Math,Science,22.01,Satisfactory,0
71,Bernard,Adne,Male,8,3,42,94,81,50,31,1,1,1,0,64.0,98.33,23.33,45,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,1,Math,It,28.72,Needs Improvement,0
72,Garey,Abbis,Male,2,10,50,50,50,50,50,1,1,1,1,50.0,94.44,27.78,60,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,Math,Math,0.0,Passing,0
73,Roselle,Gallie,Female,3,22,49,50,50,81,87,1,1,1,1,67.0,87.78,27.22,71,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,19.78,Needs Improvement,0
74,Alica,Jeanet,Female,11,27,35,2,25,27,11,0,0,0,0,16.25,85.0,19.44,62,Excessive Absence,Fail,Exessive,High (9-12),0,1,4,English,Math,11.87,Failing,0
75,Angela,Egar,Female,8,29,20,69,65,52,52,1,1,1,1,59.5,83.89,11.11,49,Excessive Absence,Pass,Exessive,Middle (6-8),1,1,0,Math,English,8.81,Passing,0
76,Dani,Alfonso,Female,9,14,1,49,29,51,43,0,0,1,0,43.0,92.22,0.56,15,Excessive Absence,Fail,Moderate,High (9-12),0,1,3,English,Science,9.93,Failing,0
77,Sibby,Klimuk,Female,2,19,38,68,50,50,67,1,1,1,1,58.75,89.44,21.11,57,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,10.11,Passing,0
78,Jeralee,Bowbrick,Female,2,27,25,56,50,81,50,1,1,1,1,59.25,85.0,13.89,52,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,Science,14.77,Passing,0
79,Kylie,Boerderman,Female,9,26,43,40,22,32,39,0,0,0,0,33.25,85.56,23.89,69,Excessive Absence,Fail,Exessive,High (9-12),0,1,4,Math,Science,8.3,Failing,0
80,Elliott,De Souza,Male,6,5,18,81,81,77,61,1,1,1,1,75.0,97.22,10.0,23,Acceptable,Pass,Concerning,Middle (6-8),0,0,0,Math,It,9.52,Satisfactory,0
81,Otis,Baldoni,Male,9,21,2,60,13,18,63,1,0,0,1,38.5,88.33,1.11,23,Excessive Absence,Fail,Concerning,High (9-12),0,1,2,It,Science,26.66,Failing,0
82,Carl,Mechic,Male,3,30,48,50,95,79,50,1,1,1,1,68.5,83.33,26.67,78,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,Math,22.34,Needs Improvement,0
83,Clayborn,Dunthorn,Male,8,24,38,51,72,77,63,1,1,1,1,65.75,86.67,21.11,62,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,English,Math,11.41,Needs Improvement,0
84,Marquita,Mingey,Female,12,13,33,26,63,8,99,0,1,0,1,49.0,92.78,18.33,46,Excessive Absence,Fail,Exessive,High (9-12),0,1,2,It,English,40.44,Failing,0
85,Vivia,Suddards,Female,12,15,0,50,32,53,58,1,0,1,1,48.25,91.67,0.0,15,Excessive Absence,Fail,Moderate,High (9-12),0,1,1,It,Science,11.32,Failing,0
86,Babbie,Webling,Female,2,26,50,50,50,96,63,1,1,1,1,64.75,85.56,27.78,76,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,Math,21.72,Needs Improvement,0
87,Conan,Duff,Male,7,19,20,50,17,87,84,1,0,1,1,59.5,89.44,11.11,39,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,1,English,Science,32.93,Passing,0
88,Cindie,Kilcoyne,Female,2,1,16,50,70,82,64,1,1,1,1,66.5,99.44,8.89,17,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,English,Math,13.3,Needs Improvement,0
89,Adorne,Yurlov,Female,10,13,2,89,53,27,52,1,1,0,1,55.25,92.78,1.11,15,Excessive Absence,Pass,Moderate,High (9-12),0,1,1,Math,English,25.51,Passing,0
90,Godfry,Maharey,Male,12,5,28,49,49,57,86,0,0,1,1,60.25,97.22,15.56,33,Excessive Tardiness,Pass,Exessive,High (9-12),0,1,2,It,Math,17.58,Needs Improvement,0
91,Clyde,Farryan,Male,1,1,19,50,97,50,98,1,1,1,1,73.75,99.44,10.56,20,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,It,Math,27.43,Satisfactory,0
92,Tanhya,Cribbott,Female,4,1,7,50,94,73,51,1,1,1,1,67.0,99.44,3.89,8,Acceptable,Pass,Good,Elementary (1-5),0,0,0,Science,Math,20.9,Needs Improvement,0
93,Koenraad,Garci,Male,12,19,42,90,9,47,3,1,0,0,0,37.25,89.44,23.33,61,Excessive Absence,Fail,Exessive,High (9-12),0,1,3,Math,It,40.2,Failing,0
94,Dru,Radki,Male,8,14,47,63,27,78,79,1,0,1,1,61.75,92.22,26.11,61,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,1,It,Science,24.3,Needs Improvement,0
95,Beryl,Bishop,Female,3,10,4,92,50,50,78,1,1,1,1,67.5,94.44,2.22,14,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,Math,Science,21.0,Needs Improvement,0
96,Cliff,Wilber,Male,5,5,32,51,50,50,51,1,1,1,1,50.5,97.22,17.78,37,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,0.58,Passing,0
97,Demetre,Leehane,Male,6,5,45,50,50,50,99,1,1,1,1,62.25,97.22,25.0,50,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,0,It,Math,24.5,Needs Improvement,0
98,Willy,Mellody,Male,4,9,1,50,50,50,56,1,1,1,1,51.5,95.0,0.56,10,Acceptable,Pass,Good,Elementary (1-5),0,0,0,It,Math,3.0,Passing,0
99,Valentino,Storm,Male,9,7,37,6,84,93,35,0,1,1,0,54.5,96.11,20.56,44,Excessive Tardiness,Pass,Exessive,High (9-12),0,1,2,English,Math,41.17,Passing,0
100,Andrus,D'Ambrosi,Male,10,16,8,82,44,71,55,1,0,1,1,63.0,91.11,4.44,24,Excessive Absence,Pass,Concerning,High (9-12),0,1,1,Math,Science,16.83,Needs Improvement,0
101,Kira,Brownjohn,Female,8,5,30,7,45,45,78,0,0,0,1,43.75,97.22,16.67,35,Excessive Tardiness,Fail,Exessive,Middle (6-8),0,1,3,It,Math,29.02,Failing,0
102,Cullan,Brandel,Male,12,1,26,40,83,8,22,0,1,0,0,38.25,99.44,14.44,27,Excessive Tardiness,Fail,Concerning,High (9-12),0,1,3,Science,English,32.58,Failing,0
103,Thaxter,Macoun,Male,10,12,46,35,0,45,89,0,0,0,1,42.25,93.33,25.56,58,Excessive Absence,Fail,Exessive,High (9-12),0,1,3,It,Science,36.65,Failing,0
104,Dina,Gunston,Female,11,6,44,72,14,15,82,1,0,0,1,45.75,96.67,24.44,50,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,2,It,Science,36.32,Failing,0
105,Paten,Guiness,Male,11,7,39,88,65,54,29,1,1,1,0,59.0,96.11,21.67,46,Excessive Tardiness,Pass,Exessive,High (9-12),0,1,1,Math,It,24.51,Passing,0
106,Bjorn,Causer,Male,11,23,1,30,22,11,73,0,0,0,1,34.0,87.22,0.56,24,Excessive Absence,Fail,Concerning,High (9-12),0,1,3,It,English,27.14,Failing,0
107,Zared,Onele,Male,12,26,44,7,25,16,21,0,0,0,0,17.25,85.56,24.44,70,Excessive Absence,Fail,Exessive,High (9-12),0,1,4,Science,Math,7.76,Failing,0
108,Phyllys,Spaxman,Female,6,22,25,80,50,50,64,1,1,1,1,61.0,87.78,13.89,47,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,Math,Science,14.28,Needs Improvement,0
109,Shani,Ciric,Female,9,22,48,20,74,14,92,0,1,0,1,50.0,87.78,26.67,70,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,It,English,38.88,Passing,0
110,Tobi,Anglin,Female,1,3,0,50,50,76,75,1,1,1,1,62.75,98.33,0.0,3,Acceptable,Pass,Good,Elementary (1-5),0,0,0,English,Math,14.73,Needs Improvement,0
111,Cad,Binny,Male,10,14,36,25,70,7,79,0,1,0,1,45.25,92.22,20.0,50,Excessive Absence,Fail,Exessive,High (9-12),0,1,2,It,English,34.76,Failing,0
112,Velvet,Beade,Female,1,30,17,57,77,74,87,1,1,1,1,73.75,83.33,9.44,47,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,12.47,Satisfactory,0
113,Silvester,Wainman,Male,10,7,33,44,10,13,2,0,0,0,0,17.25,96.11,18.33,40,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,4,Math,It,18.43,Failing,0
114,Leda,Eginton,Female,5,0,33,50,50,59,78,1,1,1,1,59.25,100.0,18.33,33,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,13.2,Passing,0
115,Carce,Schooley,Male,2,17,28,64,64,72,50,1,1,1,1,62.5,90.56,15.56,45,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,It,9.15,Needs Improvement,0
116,Jade,Launder,Female,2,15,50,50,75,82,50,1,1,1,1,64.25,91.67,27.78,65,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,Math,16.7,Needs Improvement,0
117,Nancie,Jakeman,Female,5,0,12,56,72,75,66,1,1,1,1,67.25,100.0,6.67,12,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,English,Math,8.38,Needs Improvement,0
118,Rich,Ogilvie,Male,8,16,2,22,24,18,70,0,0,0,1,33.5,91.11,1.11,18,Excessive Absence,Fail,Moderate,Middle (6-8),0,1,3,It,English,24.46,Failing,0
119,Rivkah,MacConnal,Female,9,22,8,22,5,72,59,0,0,1,1,39.5,87.78,4.44,30,Excessive Absence,Fail,Concerning,High (9-12),0,1,2,English,Science,31.27,Failing,0
120,Francesca,Clancy,Female,11,6,24,53,39,72,1,1,0,1,0,41.25,96.67,13.33,30,Excessive Tardiness,Fail,Concerning,High (9-12),0,1,2,English,It,30.05,Failing,0
121,Consuela,Stebbings,Female,8,4,25,25,65,47,19,0,1,0,0,39.0,97.78,13.89,29,Excessive Tardiness,Fail,Concerning,Middle (6-8),0,1,3,Science,It,21.1,Failing,0
122,Bridget,Panting,Female,1,15,11,50,58,52,50,1,1,1,1,52.5,91.67,6.11,26,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,Science,Math,3.79,Passing,0
123,Rockwell,Ryles,Male,5,5,24,81,50,50,50,1,1,1,1,57.75,97.22,13.33,29,Excessive Tardiness,Pass,Concerning,Elementary (1-5),0,1,0,Math,Science,15.5,Passing,0
124,Fredric,Priestland,Male,1,30,15,71,50,96,69,1,1,1,1,71.5,83.33,8.33,45,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,Science,18.88,Satisfactory,0
125,Derrick,Lackington,Male,8,19,17,28,75,51,56,0,1,1,1,52.5,89.44,9.44,36,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,1,Science,Math,19.33,Passing,0
126,Allis,Davion,Female,4,1,16,66,50,54,79,1,1,1,1,62.25,99.44,8.89,17,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,It,Science,13.07,Needs Improvement,0
127,Carri,Kamena,Female,12,8,44,85,3,21,32,1,0,0,0,35.25,95.56,24.44,52,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,Math,Science,35.26,Failing,0
128,Berget,Palley,Female,9,4,40,39,96,3,19,0,1,0,0,39.25,97.78,22.22,44,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,Science,English,40.6,Failing,0
129,Delores,Barsby,Female,7,6,29,69,49,52,31,1,0,1,0,50.25,96.67,16.11,35,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,2,Math,It,15.56,Passing,0
130,Fawn,McJury,Female,7,12,50,61,1,25,32,1,0,0,0,29.75,93.33,27.78,62,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,3,Math,Science,24.7,Failing,0
131,Colan,Wallicker,Male,8,0,25,83,58,42,18,1,1,0,0,50.25,100.0,13.89,25,Excessive Tardiness,Pass,Concerning,Middle (6-8),0,1,2,Math,It,27.33,Passing,0
132,Jessi,Yakovitch,Female,2,16,48,69,50,93,50,1,1,1,1,65.5,91.11,26.67,64,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,Science,20.4,Needs Improvement,0
133,Crawford,McTear,Male,12,18,38,3,23,55,50,0,0,1,1,32.75,90.0,21.11,56,Excessive Absence,Fail,Exessive,High (9-12),0,1,2,English,Math,24.31,Failing,0
134,Griffie,Whinney,Male,1,9,37,50,50,65,79,1,1,1,1,61.0,95.0,20.56,46,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,13.93,Needs Improvement,0
135,Ryley,Lyons,Male,1,24,14,59,50,50,76,1,1,1,1,58.75,86.67,7.78,38,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Science,12.26,Passing,0
136,Calla,Tales,Female,6,7,46,50,51,50,50,1,1,1,1,50.25,96.11,25.56,53,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,0,Science,Math,0.5,Passing,0
137,Inga,Cumber,Female,10,28,16,56,20,29,15,1,0,0,0,30.0,84.44,8.89,44,Excessive Absence,Fail,Exessive,High (9-12),1,1,3,Math,It,18.28,Failing,0
138,Katherina,Scrymgeour,Female,6,4,34,50,50,93,79,1,1,1,1,68.0,97.78,18.89,38,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,0,English,Math,21.56,Needs Improvement,0
